Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5
Disease A,itching,fever,headache,vomiting,fatigue
Disease B,cough,sore throat,headache,fever,fatigue
Disease C,muscle weakness,stomach pain,diarrhea,fatigue,dizziness
Disease D,nausea,vomiting,headache,skin rash,fever
Disease E,abdominal pain,swollen lymph nodes,chills,fatigue,diarrhea
Disease F,blurred vision,headache,nausea,dizziness,fatigue
Disease G,cough,sore throat,fever,runny nose,headache
Disease H,muscle pain,joint pain,swelling,fatigue,headache
Disease I,itching,red eyes,fever,rash,swollen lymph nodes
Disease J,night sweats,fatigue,chills,fever,cough
Disease K,loss of appetite,fever,weight loss,dizziness,sweating
Disease L,diarrhea,nausea,vomiting,fatigue,fever
Disease M,headache,stomach pain,fever,fatigue,dizziness
Disease N,sore throat,fever,cough,runny nose,fatigue
Disease O,abdominal bloating,diarrhea,nausea,fatigue,headache
Disease P,fever,chills,body aches,headache,fatigue
Disease Q,difficulty breathing,fever,cough,headache,sore throat
Disease R,blurred vision,headache,fever,nausea,stomach pain
Disease S,joint pain,fatigue,sore throat,fever,headache
Disease T,fever,headache,cough,fatigue,runny nose
Disease U,nausea,vomiting,dizziness,fever,chills
Disease V,diarrhea,abdominal cramps,fatigue,nausea,headache
Disease W,blurred vision,headache,nausea,fever,dizziness
